Machine Learning Method,ML Method Parameters,Text Normalization,Text Representation,Avg F-Score
SVM,SVC(gamma=0.1),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: False,0.357335474
MLP,MLPClassifier(max_iter=1000),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: False,0.78119022
MLP,"MLPClassifier(hidden_layer_sizes=(200, 100), max_iter=2000)","{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: False,0.696721165
Logistic Regression,LogisticRegression(max_iter=1000),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: True,0.80719603
Logistic Regression,"LogisticRegression(C=0.5, max_iter=2000, solver='liblinear')","{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: True,0.701899775
Naive Bayes,MultinomialNB(),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: True,0.701899775
Naive Bayes,MultinomialNB(alpha=0.5),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: True,0.701899775
SVM,SVC(kernel='linear'),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: True,0.736259957
SVM,SVC(gamma=0.1),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: True,0.357335474
MLP,MLPClassifier(max_iter=1000),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: True,0.814349485
MLP,"MLPClassifier(hidden_layer_sizes=(200, 100), max_iter=2000)","{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: True,0.692475308
Logistic Regression,LogisticRegression(max_iter=1000),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: False,0.741634527
Logistic Regression,"LogisticRegression(C=0.5, max_iter=2000, solver='liblinear')","{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: False,0.596345753
Naive Bayes,MultinomialNB(),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: False,0.615290722
Naive Bayes,MultinomialNB(alpha=0.5),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: False,0.68544741
SVM,SVC(kernel='linear'),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: False,0.63755102
SVM,SVC(gamma=0.1),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: False,0.360895284
MLP,MLPClassifier(max_iter=1000),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: False,0.610885246
MLP,"MLPClassifier(hidden_layer_sizes=(200, 100), max_iter=2000)","{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: False,0.678
Logistic Regression,LogisticRegression(max_iter=1000),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: True,0.741634527
Logistic Regression,"LogisticRegression(C=0.5, max_iter=2000, solver='liblinear')","{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: True,0.596345753
Naive Bayes,MultinomialNB(),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Frecuencia - SVD: True,0.596345753
